DFB Year,Region,Region Desc,Number of Fish,Species Code,Species Name,Management Area
1990,2,Central Region,511036,430,"salmon, coho",H
1990,2,Central Region,103317,430,"salmon, coho",T
1990,2,Central Region,44164506,440,"salmon, pink",E
1990,2,Central Region,987300,440,"salmon, pink",H
1990,2,Central Region,496517,440,"salmon, pink",T
1990,2,Central Region,967143,450,"salmon, chum",E
1990,2,Central Region,358148,450,"salmon, chum",H
1990,2,Central Region,1055409,450,"salmon, chum",T
1990,3,A-Y-K Region,84706,410,"salmon, chinook",W
1990,3,A-Y-K Region,32,410,"salmon, chinook",X
1990,3,A-Y-K Region,89412,410,"salmon, chinook",Y
1990,3,A-Y-K Region,8895,410,"salmon, chinook",Z
1990,3,A-Y-K Region,204374,420,"salmon, sockeye",W
1990,3,A-Y-K Region,,420,"salmon, sockeye",Y
1990,3,A-Y-K Region,434,420,"salmon, sockeye",Z
1990,3,A-Y-K Region,445062,430,"salmon, coho",W
1990,3,A-Y-K Region,31130,430,"salmon, coho",Y
1990,3,A-Y-K Region,56712,430,"salmon, coho",Z
1990,3,A-Y-K Region,16082,440,"salmon, pink",W
1990,3,A-Y-K Region,743,440,"salmon, pink",Y
1990,3,A-Y-K Region,522535,450,"salmon, chum",W
1990,3,A-Y-K Region,163509,450,"salmon, chum",X
1990,3,A-Y-K Region,354091,450,"salmon, chum",Y
1990,3,A-Y-K Region,65123,450,"salmon, chum",Z
1990,4,Westward Region,18808,410,"salmon, chinook",K
1990,4,Westward Region,9901,410,"salmon, chinook",L
1990,4,Westward Region,28819,410,"salmon, chinook",M
1990,4,Westward Region,5247569,420,"salmon, sockeye",K
1990,4,Westward Region,2088128,420,"salmon, sockeye",L
1990,4,Westward Region,4813440,420,"salmon, sockeye",M
1990,4,Westward Region,293819,430,"salmon, coho",K
1990,4,Westward Region,130131,430,"salmon, coho",L
1990,4,Westward Region,498562,430,"salmon, coho",M
1990,4,Westward Region,5983812,440,"salmon, pink",K
1990,4,Westward Region,550008,440,"salmon, pink",L
1990,4,Westward Region,3661838,440,"salmon, pink",M
1990,4,Westward Region,577748,450,"salmon, chum",K
1990,4,Westward Region,270004,450,"salmon, chum",L
1990,4,Westward Region,1361949,450,"salmon, chum",M
1991,1,Southeastern Region,59680,410,"salmon, chinook",A
1991,1,Southeastern Region,87302,410,"salmon, chinook",B
1991,1,Southeastern Region,47499,410,"salmon, chinook",C
1991,1,Southeastern Region,136130,410,"salmon, chinook",D
1991,1,Southeastern Region,699416,420,"salmon, sockeye",A
1991,1,Southeastern Region,1153570,420,"salmon, sockeye",B
1991,1,Southeastern Region,191198,420,"salmon, sockeye",C
1991,1,Southeastern Region,18692,420,"salmon, sockeye",D
1991,1,Southeastern Region,885595,430,"salmon, coho",A
1991,1,Southeastern Region,956206,430,"salmon, coho",B
1991,1,Southeastern Region,382815,430,"salmon, coho",C
1991,1,Southeastern Region,972070,430,"salmon, coho",D
1991,1,Southeastern Region,8268302,440,"salmon, pink",A
1991,1,Southeastern Region,41696921,440,"salmon, pink",B
1991,1,Southeastern Region,8747819,440,"salmon, pink",C
1991,1,Southeastern Region,3119362,440,"salmon, pink",D
1991,1,Southeastern Region,741967,450,"salmon, chum",A
1991,1,Southeastern Region,1368913,450,"salmon, chum",B
1991,1,Southeastern Region,350006,450,"salmon, chum",C
1991,1,Southeastern Region,874853,450,"salmon, chum",D
1991,2,Central Region,35354,410,"salmon, chinook",E
1991,2,Central Region,14966,410,"salmon, chinook",H
1991,2,Central Region,30440,410,"salmon, chinook",T
1991,2,Central Region,1734344,420,"salmon, sockeye",E
1991,2,Central Region,2491717,420,"salmon, sockeye",H
1991,2,Central Region,25821180,420,"salmon, sockeye",T
1991,2,Central Region,641860,430,"salmon, coho",E
1991,2,Central Region,440627,430,"salmon, coho",H
1991,2,Central Region,117740,430,"salmon, coho",T
1991,2,Central Region,37135557,440,"salmon, pink",E
1991,2,Central Region,741206,440,"salmon, pink",H
1991,2,Central Region,305,440,"salmon, pink",T
1991,2,Central Region,352032,450,"salmon, chum",E
1991,2,Central Region,305177,450,"salmon, chum",H
1991,2,Central Region,1289749,450,"salmon, chum",T
1991,3,A-Y-K Region,48317,410,"salmon, chinook",W
1991,3,A-Y-K Region,44,410,"salmon, chinook",X
1991,3,A-Y-K Region,97045,410,"salmon, chinook",Y
1991,3,A-Y-K Region,6068,410,"salmon, chinook",Z
1991,3,A-Y-K Region,202824,420,"salmon, sockeye",W
1991,3,A-Y-K Region,203,420,"salmon, sockeye",Z
1991,3,A-Y-K Region,557895,430,"salmon, coho",W
1991,3,A-Y-K Region,99497,430,"salmon, coho",Y
1991,3,A-Y-K Region,63647,430,"salmon, coho",Z
1991,3,A-Y-K Region,588,440,"salmon, pink",W
1991,3,A-Y-K Region,503197,450,"salmon, chum",W
1991,3,A-Y-K Region,239923,450,"salmon, chum",X
1991,3,A-Y-K Region,506684,450,"salmon, chum",Y
1991,3,A-Y-K Region,86871,450,"salmon, chum",Z
1991,4,Westward Region,22234,410,"salmon, chinook",K
1991,4,Westward Region,3285,410,"salmon, chinook",L
1991,4,Westward Region,16880,410,"salmon, chinook",M
1991,4,Westward Region,5702754,420,"salmon, sockeye",K
1991,4,Westward Region,1891188,420,"salmon, sockeye",L
1991,4,Westward Region,4697428,420,"salmon, sockeye",M
1991,4,Westward Region,324860,430,"salmon, coho",K
1991,4,Westward Region,165599,430,"salmon, coho",L
1991,4,Westward Region,530597,430,"salmon, coho",M
1991,4,Westward Region,16642836,440,"salmon, pink",K
1991,4,Westward Region,1166638,440,"salmon, pink",L
1991,4,Westward Region,10600845,440,"salmon, pink",M
1991,4,Westward Region,1029057,450,"salmon, chum",K
1991,4,Westward Region,260815,450,"salmon, chum",L
1991,4,Westward Region,1765052,450,"salmon, chum",M
1992,1,Southeastern Region,27892,410,"salmon, chinook",A
1992,1,Southeastern Region,66770,410,"salmon, chinook",B
1992,1,Southeastern Region,25845,410,"salmon, chinook",C
1992,1,Southeastern Region,105305,410,"salmon, chinook",D
1992,1,Southeastern Region,798272,420,"salmon, sockeye",A
1992,1,Southeastern Region,1531726,420,"salmon, sockeye",B
1992,1,Southeastern Region,303599,420,"salmon, sockeye",C
1992,1,Southeastern Region,31528,420,"salmon, sockeye",D
1992,1,Southeastern Region,1198910,430,"salmon, coho",A
1992,1,Southeastern Region,838473,430,"salmon, coho",B
1992,1,Southeastern Region,533185,430,"salmon, coho",C
1992,1,Southeastern Region,1123467,430,"salmon, coho",D
1992,1,Southeastern Region,4935152,440,"salmon, pink",A
1992,1,Southeastern Region,18301686,440,"salmon, pink",B
1992,1,Southeastern Region,8202467,440,"salmon, pink",C
1992,1,Southeastern Region,3455995,440,"salmon, pink",D
1992,1,Southeastern Region,880130,450,"salmon, chum",A
1992,1,Southeastern Region,1943122,450,"salmon, chum",B
1992,1,Southeastern Region,684959,450,"salmon, chum",C
1992,1,Southeastern Region,1427780,450,"salmon, chum",D
1992,2,Central Region,41306,410,"salmon, chinook",E
1992,2,Central Region,20188,410,"salmon, chinook",H
1992,2,Central Region,68767,410,"salmon, chinook",T
1992,2,Central Region,1771612,420,"salmon, sockeye",E
1992,2,Central Region,9300882,420,"salmon, sockeye",H
1992,2,Central Region,31879676,420,"salmon, sockeye",T
1992,2,Central Region,619572,430,"salmon, coho",E
1992,2,Central Region,473757,430,"salmon, coho",H
1992,2,Central Region,191532,430,"salmon, coho",T
1992,2,Central Region,8637116,440,"salmon, pink",E
1992,2,Central Region,1175961,440,"salmon, pink",H
1992,2,Central Region,499538,440,"salmon, pink",T
1992,2,Central Region,334376,450,"salmon, chum",E
1992,2,Central Region,297694,450,"salmon, chum",H
1992,2,Central Region,920624,450,"salmon, chum",T
